<<<<<<< HEAD
movie_id,title,genres
1,Movie 0001,Sci-Fi
2,Movie 0002,"Drama,Western"
3,Movie 0003,Romance
4,Movie 0004,Adventure
5,Movie 0005,"Sci-Fi,War"
6,Movie 0006,"Adventure,Fantasy,Romance"
7,Movie 0007,"Animation,Documentary"
8,Movie 0008,"Documentary,Horror,Thriller"
9,Movie 0009,"Adventure,Comedy"
10,Movie 0010,"Action,Thriller,Western"
11,Movie 0011,Sci-Fi
12,Movie 0012,"Action,Crime,Western"
13,Movie 0013,"Animation,Romance,War"
14,Movie 0014,"Action,Horror"
15,Movie 0015,"Horror,Sci-Fi,Thriller"
16,Movie 0016,"Crime,War"
17,Movie 0017,Fantasy
18,Movie 0018,"Adventure,Animation,Drama"
19,Movie 0019,Comedy
20,Movie 0020,"Mystery,Western"
21,Movie 0021,Thriller
22,Movie 0022,"Adventure,Mystery"
23,Movie 0023,"Drama,Romance,Thriller"
24,Movie 0024,"Comedy,Romance,War"
25,Movie 0025,"Action,Animation,Sci-Fi"
26,Movie 0026,"Drama,Horror,Romance"
27,Movie 0027,"Drama,Fantasy"
28,Movie 0028,Animation
29,Movie 0029,Adventure
30,Movie 0030,"Mystery,Western"
31,Movie 0031,"Adventure,Fantasy,Sci-Fi"
32,Movie 0032,"Adventure,Fantasy"
33,Movie 0033,"Action,Comedy,Horror"
34,Movie 0034,"Animation,Comedy,Drama"
35,Movie 0035,Comedy
36,Movie 0036,"Action,Crime,Sci-Fi"
37,Movie 0037,"Adventure,Mystery"
38,Movie 0038,"Romance,Western"
39,Movie 0039,"Documentary,Drama"
40,Movie 0040,Animation
41,Movie 0041,"Action,Adventure"
42,Movie 0042,"Drama,Mystery,War"
43,Movie 0043,"Animation,Drama,War"
44,Movie 0044,"Animation,Drama"
45,Movie 0045,Crime
46,Movie 0046,"Documentary,Horror,War"
47,Movie 0047,"Adventure,Documentary"
48,Movie 0048,"Fantasy,Thriller"
49,Movie 0049,"Comedy,Sci-Fi"
50,Movie 0050,Sci-Fi
51,Movie 0051,Romance
52,Movie 0052,"Crime,Documentary,Romance"
53,Movie 0053,"Adventure,Thriller"
54,Movie 0054,"Animation,Crime,Romance"
55,Movie 0055,"Animation,Drama"
56,Movie 0056,Sci-Fi
57,Movie 0057,"Mystery,Romance"
58,Movie 0058,Mystery
59,Movie 0059,Horror
60,Movie 0060,Mystery
61,Movie 0061,"Adventure,Sci-Fi"
62,Movie 0062,"Action,Animation,Fantasy"
63,Movie 0063,"Animation,Romance"
64,Movie 0064,Horror
65,Movie 0065,"Animation,Crime,War"
66,Movie 0066,"Crime,Mystery"
67,Movie 0067,Action
68,Movie 0068,Western
69,Movie 0069,"Drama,Fantasy"
70,Movie 0070,Adventure
71,Movie 0071,Fantasy
72,Movie 0072,"Drama,War,Western"
73,Movie 0073,"Drama,Thriller"
74,Movie 0074,"Crime,Fantasy,Western"
75,Movie 0075,Action
76,Movie 0076,"Action,Sci-Fi"
77,Movie 0077,"Adventure,Crime"
78,Movie 0078,Adventure
79,Movie 0079,"Adventure,Mystery"
80,Movie 0080,Mystery
81,Movie 0081,"Mystery,Sci-Fi,War"
82,Movie 0082,"Thriller,Western"
83,Movie 0083,Action
84,Movie 0084,Horror
85,Movie 0085,"Crime,Documentary"
86,Movie 0086,"Sci-Fi,Western"
