<<<<<<< HEAD
user_id,movie_id,rating
1,36,4
1,46,4
1,56,4
1,59,3
1,79,2
1,103,1
1,144,1
1,156,1
1,192,1
1,208,3
1,219,1
1,222,3
1,235,4
1,244,4
1,250,3
1,263,3
1,266,1
1,276,2
1,315,3
1,317,3
1,338,1
1,352,1
1,360,2
1,376,5
1,378,4
1,452,1
1,456,4
1,465,2
1,484,2
1,491,3
1,506,2
1,509,3
1,516,1
1,539,2
1,544,3
1,579,1
1,583,4
1,593,3
1,619,2
1,636,3
1,649,1
1,671,4
1,678,1
1,689,2
1,715,5
1,735,2
1,756,5
1,806,2
1,807,3
1,819,5
1,829,4
1,858,5
1,933,3
1,936,2
1,950,3
1,982,5
1,994,1
1,1002,2
1,1010,4
1,1016,4
1,1045,3
1,1050,5
1,1052,3
1,1064,4
1,1110,5
1,1113,2
1,1150,3
1,1152,1
1,1167,4
1,1180,2
1,1191,2
2,2,4
2,5,3
2,7,3
2,29,3
2,71,3
2,79,2
2,88,2
2,99,2
2,103,4
2,107,3
2,123,3
2,137,2
2,164,3
2,203,3
2,208,4
2,228,2
2,264,3
2,271,2
2,274,1
2,277,4
2,279,2
2,291,3
2,404,2
2,405,2
2,419,2
2,427,2
2,434,2
2,435,1
2,454,3
2,455,1
2,461,4
2,462,2
2,468,3
2,480,3
2,481,2
2,486,3
2,487,4
2,495,2
2,538,4
2,560,2
2,578,3
2,579,4
2,588,3
2,615,1
2,634,1
2,658,2
2,686,5
2,711,2
2,715,2
2,734,3
2,740,2
2,744,2
2,745,4
2,772,2
2,796,4
2,836,2
2,840,4
2,856,4
2,859,4
2,872,5
2,898,3
2,904,2
2,919,4
2,945,3
2,946,3
2,948,3
2,1053,2
2,1072,3
2,1076,3
2,1078,3
2,1080,5
2,1088,4
2,1115,3
2,1123,4
2,1137,2
2,1142,3
2,1146,4
2,1158,2
2,1174,4
2,1177,3
3,45,4
3,62,2
3,82,3
3,93,4
3,110,2
3,139,4
3,150,3
3,173,4
3,189,4
3,192,3
3,201,4
3,224,4
3,257,2
3,264,2
3,273,4
3,281,2
3,289,2
3,299,2
3,303,4
3,339,3
